,Date,open,high,low,close,vol tick
337,2018.04.20,151209,151702,150691,150736,123797
338,2018.04.23,150864,151640,150731,151515,113522
339,2018.04.24,151507,152599,151406,152072,117197
340,2018.04.25,152040,152568,152039,152398,142396
341,2018.04.26,152370,152729,151973,152068,190656
342,2018.04.27,152027,152279,150225,150310,194254
343,2018.04.30,150171,150843,149836,150404,139429
344,2018.05.01,150405,150633,149147,149561,156658
345,2018.05.02,149561,150124,149006,149083,189531
346,2018.05.03,149075,149465,147600,148200,203219
347,2018.05.04,148200,148294,147058,147546,193733
348,2018.05.07,147643,148263,147341,147872,117199
349,2018.05.08,147872,148076,147050,147836,173863
350,2018.05.09,147836,149195,147698,148639,169298
351,2018.05.10,148639,149308,147479,147844,209953
352,2018.05.11,147846,148487,147581,148113,140441
353,2018.05.14,147979,149068,147915,148619,115597
354,2018.05.15,148615,149197,148376,148989,162101
355,2018.05.16,148895,149064,148181,148862,170853
356,2018.05.17,148826,149834,148762,149674,170602
357,2018.05.18,149676,150008,149090,149181,123809
358,2018.05.21,149232,149655,148812,149029,120266
359,2018.05.22,149029,149726,148767,148898,141788
360,2018.05.23,148902,149000,145944,146869,229576
361,2018.05.24,146841,147266,145688,146140,191310
362,2018.05.25,146133,146724,145278,145429,205193
363,2018.05.28,146100,146180,145319,145598,127214
364,2018.05.29,145578,145708,143194,144001,252566
365,2018.05.30,144047,145056,143596,144641,179466
366,2018.05.31,144644,145311,144123,144643,167799
367,2018.06.01,144605,146303,144486,146176,140104
368,2018.06.04,145905,146898,145836,146190,109392
369,2018.06.05,146173,147093,146030,146938,118070
370,2018.06.06,146854,148004,146839,147758,108936
371,2018.06.07,147735,148115,146904,147228,130089
372,2018.06.08,147180,147439,146091,146921,129509
373,2018.06.11,146509,147844,146509,147149,90652
374,2018.06.12,147131,147986,147116,147562,120288
375,2018.06.13,147575,147895,147209,147562,107906
376,2018.06.14,147506,147848,146621,146653,136644
377,2018.06.15,146704,147067,146292,146925,126624
378,2018.06.18,146846,146997,146100,146402,90880
379,2018.06.19,146383,146470,144384,144955,145260
380,2018.06.20,144982,145620,144582,145301,111885
381,2018.06.21,145301,146217,144590,145528,152108
382,2018.06.22,145542,146649,145425,145882,128337
383,2018.06.25,145547,146181,144695,145684,127483
384,2018.06.26,145712,145764,144970,145458,128823
385,2018.06.27,145444,145660,144515,144546,155018
386,2018.06.28,144538,144678,143768,144478,153851
387,2018.06.29,144454,146329,144341,146284,145251
388,2018.07.02,145704,146490,145184,145725,135852
389,2018.07.03,145718,146385,145282,145822,115342
390,2018.07.04,145814,146361,145560,146064,151979
391,2018.07.05,145854,146870,145738,146263,153778
392,2018.07.06,146049,146795,145929,146786,104857
393,2018.07.09,147017,147613,146091,146917,140666
394,2018.07.10,146900,147792,146798,147274,119052
395,2018.07.11,147311,148114,146800,147845,159541
396,2018.07.12,147825,148898,147772,148566,118476
397,2018.07.13,148487,148726,147640,148694,121689
398,2018.07.16,148410,149312,148385,148582,79960
399,2018.07.17,148599,149089,147560,148016,119475
400,2018.07.18,148001,148229,146865,147442,111762
401,2018.07.19,147433,147599,146156,146340,139238
402,2018.07.20,146341,146660,145972,146317,138955
403,2018.07.23,146122,146413,145659,145824,107437
404,2018.07.24,145822,146313,145437,146141,101189
405,2018.07.25,146143,146506,145750,146328,110761
406,2018.07.26,146312,146501,145745,145773,107287
407,2018.07.27,145762,145806,145252,145478,87922
408,2018.07.30,145422,145908,145246,145805,78784
409,2018.07.31,145787,147001,145337,146773,114027
410,2018.08.01,146795,147134,146297,146638,104080
411,2018.08.02,146532,146636,144983,145309,97987
412,2018.08.03,145311,145533,144496,144670,84077
413,2018.08.06,144603,144719,144028,144181,58969
414,2018.08.07,144166,144423,143791,144098,66583
415,2018.08.08,144090,144262,142712,142930,75970
416,2018.08.09,142931,143476,142333,142435,76036
417,2018.08.10,142464,142548,140919,141647,128081
418,2018.08.13,140715,141819,140224,141310,115160
419,2018.08.14,141279,142458,140988,141378,95133
